,IT,FR,Country,Partner
0,2020-01,4467.007832,IT,FR
1,2020-02,4656.87337,IT,FR
2,2020-03,3854.251746,IT,FR
3,2020-04,2241.963854,IT,FR
4,2020-05,3493.750149,IT,FR
5,2020-06,4528.507056,IT,FR
6,2020-07,5192.695567,IT,FR
7,2020-08,3142.657492,IT,FR
8,2020-09,5131.459572,IT,FR
9,2020-10,5210.709114,IT,FR
10,2020-11,5123.861049,IT,FR
11,2020-12,4655.940732,IT,FR
12,2021-01,4580.501154,IT,FR
13,2021-02,5082.589355,IT,FR
14,2021-03,5824.91584,IT,FR
15,2021-04,5383.424891,IT,FR
16,2021-05,5524.057449,IT,FR
17,2021-06,5784.683766,IT,FR
18,2021-07,5987.652477,IT,FR
19,2021-08,3477.630418,IT,FR
20,2021-09,5609.89274,IT,FR
21,2021-10,5447.785284,IT,FR
22,2021-11,5480.819925,IT,FR
23,2021-12,5051.600067,IT,FR
24,2022-01,4919.904689,IT,FR
25,2022-02,5430.155069,IT,FR
26,2022-03,6463.399315,IT,FR
27,2022-04,5523.054039,IT,FR
28,2022-05,6295.09425,IT,FR
29,2022-06,5874.111647,IT,FR
30,2022-07,5601.685039,IT,FR
31,2022-08,3814.040038,IT,FR
32,2022-09,5643.294179,IT,FR
33,2022-10,5327.531123,IT,FR
