,Date,Value (Millions USD),Reporter,Partner
0,2021-01,1964.476799,US,FR
1,2021-02,2061.68535,US,FR
2,2021-03,2513.339932,US,FR
3,2021-04,2458.258389,US,FR
4,2021-05,2534.847668,US,FR
5,2021-06,2708.395313,US,FR
6,2021-07,2250.015212,US,FR
7,2021-08,2561.065936,US,FR
8,2021-09,2668.534674,US,FR
9,2021-10,3108.144624,US,FR
10,2021-11,2624.646968,US,FR
11,2021-12,3145.195631,US,FR
12,2022-01,3361.294894,US,FR
13,2022-02,3287.039607,US,FR
14,2022-03,3932.523068,US,FR
15,2022-04,3736.053093,US,FR
16,2022-05,4204.842585,US,FR
17,2022-06,4300.579844,US,FR
18,2022-07,3711.914021,US,FR
19,2022-08,3731.66326,US,FR
20,2022-09,4532.812438,US,FR
21,2022-10,4162.371752,US,FR
22,2022-11,4065.244054,US,FR
