,IT,FR
0,2020-01,4467.007832
1,2020-02,4656.87337
2,2020-03,3854.251746
3,2020-04,2241.963854
4,2020-05,3493.750149
5,2020-06,4528.507056
6,2020-07,5192.695567
7,2020-08,3142.657492
8,2020-09,5131.459572
9,2020-10,5210.709114
10,2020-11,5123.861049
11,2020-12,4655.940732
12,2021-01,4580.501154
13,2021-02,5082.589355
14,2021-03,5824.91584
15,2021-04,5383.424891
16,2021-05,5524.057449
17,2021-06,5784.683766
18,2021-07,5987.652477
19,2021-08,3477.630418
20,2021-09,5609.89274
21,2021-10,5447.785284
22,2021-11,5480.819925
23,2021-12,5051.600067
24,2022-01,4919.904689
25,2022-02,5430.155069
26,2022-03,6463.399315
27,2022-04,5523.054039
28,2022-05,6295.09425
29,2022-06,5874.111647
30,2022-07,5601.685039
31,2022-08,3814.040038
32,2022-09,5643.294179
33,2022-10,5327.531123
